"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"112",2,2015,1,5,2015-01-05,44,32.1,1012.9,7.6,16.3,28.9,39,55,28.9,0.27,0,498
"113",4,2019,1,2,2019-01-02,35,23.4,1022.9,10,10.3,14,24.1,55,28,0.61,0,502
"114",3,2017,1,24,2017-01-24,48.9,46.9,992.3,2.3,17.2,28.9,41,55,37.9,0.85,1,564
"115",7,2013,1,12,2013-01-12,42.7,41.5,1022.6,7.1,7.9,13,20,46.4,39.2,0.17,0,475
"116",6,2019,1,4,2019-01-04,39,30.2,1014.4,9.8,9.9,18.1,26,46.9,30.9,0.01,0,598
"117",7,2019,1,5,2019-01-05,43.8,42.4,1005.8,5,11.8,21,31.1,46.9,30.9,0.25,0,455
"118",3,2014,1,21,2014-01-21,29.2,17.5,1012.1,8.5,12.6,22,28.9,46.9,23,0,1,1161
"119",1,2013,1,13,2013-01-13,45.4,44.9,1020.7,4.3,5.8,9.9,12.87,46.9,44.1,0.01,1,373
"120",5,2016,1,7,2016-01-07,40.5,29.9,1026.9,10,6.8,13,16.9,46.9,24.1,0,0,542
"121",3,2019,1,8,2019-01-08,36.3,30.8,1025.7,6.7,9.3,19,24.7,46.9,21.9,0,1,571
"122",5,2019,1,3,2019-01-03,39.4,32.9,1015.6,9.5,9.2,19,24.1,46.9,28,0,0,504
"123",2,2014,1,13,2014-01-13,38.6,31.2,1018.7,9.2,7.7,12,15.6,46.9,28.9,0.01,0,568
"124",7,2013,1,19,2013-01-19,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16,0,0,484
"125",4,2019,1,9,2019-01-09,44.4,39.6,997.6,5.6,13.4,22,34,46.9,28.9,0.12,1,514
"126",2,2014,1,20,2014-01-20,41,27.9,1003.2,10,16.8,24.1,35,46.9,34,0,0,360
"127",7,2018,1,20,2018-01-20,38.1,32.5,1010.9,10,14.3,25.1,34,46.9,24.1,0,0,530
"128",1,2019,1,6,2019-01-06,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,0,376
"129",5,2019,1,10,2019-01-10,34.9,21.2,998.6,9.7,14.7,19,32.1,46.9,32,0.01,0,580
"130",3,2013,1,15,2013-01-15,42.3,38.3,1023.1,9.5,8,15,19.5,48.9,39,0.24,0,516
"131",4,2014,1,15,2014-01-15,41.1,38.4,1013.3,6.5,6,15.9,24.1,48.9,32,0.62,0,583
"132",3,2017,1,3,2017-01-03,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,0,659
"133",1,2018,1,21,2018-01-21,39.7,31.7,1018.2,10,7.2,12,15.6,48.9,28,0,0,418
"134",2,2018,1,22,2018-01-22,36.4,35.9,1023.6,7.6,4,11.1,14.43,48.9,27,0,0,559
"135",6,2014,1,31,2014-01-31,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,0,560
"136",3,2013,1,29,2013-01-29,35.4,34.9,1019,2.6,4.9,9.9,12.87,37.4,33.1,0.08,1,542
"137",3,2016,1,19,2016-01-19,25.5,4.8,1007.1,10,21.7,27,38.1,37.9,21.9,0.02,0,662
"138",2,2018,1,15,2018-01-15,31.6,24.5,1034.9,9.1,15.4,20,25.1,37.9,25,0,0,523
"139",5,2016,1,14,2016-01-14,28.9,14.7,1013.1,8.1,11.4,20,27,37.9,27,0.01,0,597
"140",7,2016,1,23,2016-01-23,34.6,25.4,1014.3,6.1,17.5,32.1,52.1,37.9,21.9,0,1,402
"141",2,2016,1,25,2016-01-25,33.5,21.2,1021.4,10,6.5,8.9,11.57,37.9,30,0.02,0,658
"142",1,2016,1,24,2016-01-24,34.5,27.9,1005.7,6.3,25.6,36.9,49,37.9,33.1,0.37,0,517
"143",7,2019,1,26,2019-01-26,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,0,533
"144",3,2018,1,16,2018-01-16,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,0,617
"145",5,2015,1,15,2015-01-15,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28,0.03,0,548
"146",6,2015,1,16,2015-01-16,34.5,23.4,1008.6,10,14.9,25.1,34,39.9,28.9,0.02,0,563
"147",5,2015,1,1,2015-01-01,31.8,15.1,1018.6,9.9,13.6,24.1,33,39.9,21.9,0,0,395
"148",7,2015,1,17,2015-01-17,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,0,495
"149",6,2019,1,18,2019-01-18,33.2,28.1,1023,8.3,6.8,13,16.9,39.9,23,0,0,596
"150",7,2019,1,19,2019-01-19,34.5,29.7,1022,9.8,6.9,13,21,39.9,30.9,0.07,0,479
"151",3,2017,1,31,2017-01-31,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,1,571
"152",6,2013,1,18,2013-01-18,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,1,561
"153",1,2016,1,10,2016-01-10,51.3,49,1012,4.9,16.2,34,41,57.9,44.1,0,1,462
"154",2,2016,1,11,2016-01-11,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,1,680
"155",5,2018,1,4,2018-01-04,37.1,35.9,1002.4,5.9,21,40,51.1,42.8,27,0.07,0,464
"156",1,2018,1,7,2018-01-07,9.3,-0.5,1028.3,10,12.7,19,27,19.9,1.9,0,0,475
"157",5,2013,1,24,2013-01-24,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,0,554
"158",4,2013,1,23,2013-01-23,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,0,545
"159",5,2013,1,3,2013-01-03,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,0,549
"160",5,2014,1,23,2014-01-23,16.5,5.1,1014.4,9.7,11.1,19,24.1,28.9,9,0,0,612
"161",2,2019,1,21,2019-01-21,13.7,6.3,1003.4,7,17,21,33,28.9,6.1,1.5,0,412
"162",5,2014,1,9,2014-01-09,23.5,8.3,1034.2,10,7.9,12,20,28.9,12,0,0,561
"163",1,2013,1,27,2013-01-27,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,0,429
"164",6,2014,1,3,2014-01-03,24.2,20.2,1007,0.8,26.9,35.9,47,30.9,15.8,0.15,1,423
"165",1,2019,1,13,2019-01-13,26,12.8,1030.5,10,8,13,15.9,30.9,18,0,0,374
"166",1,2018,1,14,2018-01-14,27,21.7,1028.8,10,14.5,17.1,25.1,30.9,24.8,0.01,0,494
"167",3,2015,1,27,2015-01-27,30.2,27.9,993.7,0.6,39.3,48,62.9,33.8,21,0.4,1,188
"168",7,2014,1,11,2014-01-11,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,1,465
"169",2,2013,1,14,2013-01-14,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,1,542
"170",4,2015,1,28,2015-01-28,21.6,14.7,1009.6,6.6,16.6,29.9,44.1,26.1,19,0.23,0,458
"171",6,2013,1,25,2013-01-25,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,0,674
"172",4,2013,1,30,2013-01-30,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,1,497
"173",3,2016,1,26,2016-01-26,42.2,36.4,1021.5,9.1,11.1,17.1,22.23,48.2,28.9,0,0,734
"174",6,2014,1,10,2014-01-10,28.8,22.6,1034.1,9.7,5.8,11.1,14.43,39.2,12.9,0,0,667
"175",1,2014,1,5,2014-01-05,37.8,33.5,1026,9,8.6,18.1,25.1,42.1,27,0,0,320
"176",4,2019,1,30,2019-01-30,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,0,630
"177",4,2018,1,10,2018-01-10,31.4,24.2,1029.7,10,6.6,14,18.2,42.1,21.9,0,0,687
"178",3,2019,1,29,2019-01-29,33.8,23.7,1016.7,10,9.6,14,18.2,42.1,30,0,0,681
"179",3,2017,1,10,2017-01-10,35.6,26.3,1037.4,10,13.6,20,26,42.1,15.1,0,0,597
"180",7,2013,1,5,2013-01-05,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,0,389
"181",2,2018,1,8,2018-01-08,35,28,1023.6,9.9,18.3,26,33,42.1,21.9,0,0,720
"182",2,2013,1,7,2013-01-07,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,0,521
"183",4,2019,1,23,2019-01-23,31.6,23.8,1029.6,9.4,8.3,13,16.9,42.1,8.1,0,0,553
"184",5,2019,1,31,2019-01-31,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,0,601
"185",3,2018,1,30,2018-01-30,31.9,30.5,1010.7,4.3,23.4,32.1,40,42.1,26.1,0.53,1,579
"186",6,2018,1,5,2018-01-05,23,13.8,995.7,9.5,23.4,28,39,42.1,15.1,2.14,0,700
"187",7,2014,1,18,2014-01-18,38.8,35.8,1009.2,8.7,7.9,19,28,44.1,28,0,0,448
"188",2,2019,1,28,2019-01-28,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,0,565
"189",1,2019,1,27,2019-01-27,35.1,28.2,1021.8,9.9,7.8,17.1,22.23,44.1,21,0,0,445
"190",1,2013,1,6,2013-01-06,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,0,393
"191",6,2014,1,17,2014-01-17,38.6,35.8,1014.8,6.7,3.7,8.9,11.57,44.1,32,0,1,589
"192",3,2017,1,17,2017-01-17,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,0,657
"193",2,2017,1,23,2017-01-23,40.9,34.4,1011.4,8.8,18.6,26,38.1,44.1,37.4,0,0,667
"194",3,2015,1,20,2015-01-20,35.7,23.4,1009.5,10,13.1,20,26,44.1,33.1,0.03,0,500
"195",2,2016,1,18,2016-01-18,34.4,24.9,1002.2,8.8,15.3,27,35,44.1,26.1,0.45,0,481
"196",4,2017,1,18,2017-01-18,41.6,38.5,1015.9,4.5,13.8,19,24.1,44.1,36,0.26,0,549
"197",6,2013,1,11,2013-01-11,38,31.4,1030.6,10,5.4,11.1,14.43,44.1,32,0,0,660
"198",7,2016,1,2,2016-01-02,37.7,22.9,1014.3,10,12.5,19,25.1,44.1,34,0.03,0,422
"199",6,2016,1,1,2016-01-01,41.2,28,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,0,393
"200",5,2018,1,25,2018-01-25,28,12.4,1021.1,10,13.2,17.1,24.1,44.1,23,0,0,602
"201",1,2017,1,8,2017-01-08,24.1,15.9,1021.1,6.1,19.5,34,42.9,33.1,19,0.37,1,406
"202",4,2013,1,2,2013-01-02,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,0,480
"203",4,2018,1,3,2018-01-03,25.6,18.3,1025.1,10,6.7,12,15.6,35.1,10.9,0,0,645
"204",3,2019,1,15,2019-01-15,29.4,18.7,1017.5,10,7.4,13,16.9,35.1,21.9,0,0,618
"205",7,2014,1,4,2014-01-04,18.8,10.9,1030.5,9.3,12.1,21,26,35.1,8.1,0.01,0,418
"206",2,2019,1,14,2019-01-14,32.8,22.5,1021.6,10,15.3,21,26,35.1,19.9,0,0,703
"207",6,2016,1,22,2016-01-22,28,11.8,1020.4,10,13.1,22,29.9,35.1,21.9,0,0,702
"208",7,2017,1,7,2017-01-07,31.3,24.9,1022,5.7,13.4,32.1,41,35.1,28.9,0.11,1,896
"209",1,2016,1,17,2016-01-17,40.2,32.3,1007.3,9.2,7.7,12,18.1,51.1,36,0.77,0,451
"210",4,2018,1,24,2018-01-24,41.1,36.1,1008.5,8.8,13.9,20,28.9,51.1,34,0.68,1,615
"211",7,2016,1,16,2016-01-16,45.7,42.5,999,7.3,15.7,32.1,42,51.1,39.9,1.3,0,563
"212",3,2018,1,23,2018-01-23,45.3,45.3,1012.9,4.4,16.2,26,35.9,51.1,27,0,1,531
"213",1,2014,1,12,2014-01-12,45.1,38.4,1003.8,5.5,14.7,28.9,36.9,53.1,39,1.6,1,388
"214",1,2017,1,22,2017-01-22,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,1,411
"215",4,2017,1,4,2017-01-04,46.5,43.7,996.4,6.2,13.6,21,28,53.1,42.1,0.87,1,590
"216",5,2017,1,12,2017-01-12,47.8,45.5,1021.7,5.4,12.6,19,24.1,53.1,42.1,0.42,0,646
"217",5,2014,1,2,2014-01-02,31.1,22.4,1020.8,5.8,10.9,25.1,34,35.6,26.1,0,0,603
"218",6,2015,2,20,2015-02-20,14.1,-0.8,1013.5,9.5,18.8,24.1,32.1,19,8.6,0.01,0,621
"219",1,2016,2,14,2016-02-14,5.8,-6.7,1024.1,8.5,16.3,22.9,36.9,27,-2,0,0,309
"220",6,2017,2,10,2017-02-10,21,9.1,1016.3,7.9,21.5,34,45.1,27,16,1.26,1,708
"221",7,2016,2,13,2016-02-13,23.5,11.8,1011.5,7.4,12.2,24.1,29.9,27,12.9,0,0,480
"222",7,2015,2,28,2015-02-28,22.2,9.9,1037.3,10,7.2,11.1,15,28,16,0,0,538
"223",6,2014,2,28,2014-02-28,20.3,0.3,1020.5,9.6,12.5,24.1,33,28,14,0,0,655
"224",4,2014,2,12,2014-02-12,23.7,10,1030.8,10,10.5,17.1,25.1,30,17.6,0,0,641
"225",4,2019,2,20,2019-02-20,26.7,10.2,1034.1,10,7.7,14,18.1,30,19.9,0,0,615
"226",3,2013,2,5,2013-02-05,28.7,16.6,1014.6,7.8,8.2,14,18.1,32,27,0,0,566
"227",3,2014,2,11,2014-02-11,24,6.4,1023.8,10,9.2,15,18.1,32,19.9,0,0,636
"228",1,2015,2,1,2015-02-01,24.8,10.2,1018.4,10,16.8,25.1,32.1,32,17.1,0,0,361
"229",7,2014,2,8,2014-02-08,28.2,14.2,1023.9,10,8.6,12,19,32,21.9,0,0,424
"230",2,2013,2,18,2013-02-18,24.6,7.6,1010.5,9.3,22,28,36.9,32,19,0,0,398
"231",6,2014,2,7,2014-02-07,28.1,15.7,1023.2,10,9,14,19,32,24.1,0,0,675
"232",5,2014,2,27,2014-02-27,24.7,11.2,1008.1,8.6,8.4,15.9,26,32,14,0,0,571
"233",2,2015,2,16,2015-02-16,10.7,-4.6,1010.9,8.6,22.7,29.9,42.9,32,1.9,0,0,402
"234",2,2014,2,17,2014-02-17,24.3,8.9,1019.8,9.3,13.1,19,28,32,19,0,0,491
"235",2,2019,2,11,2019-02-11,30.7,14.4,1026.6,10,8.1,14,18.1,34,24.1,0,0,568
"236",1,2015,2,15,2015-02-15,25.7,21,996.7,4.6,19.6,41,55.9,34,8.1,0.04,1,454
"237",1,2019,2,10,2019-02-10,28.7,9.5,1034.3,10,11.7,15.9,22,34,24.1,0,0,445
"238",1,2013,2,10,2013-02-10,24.7,14.7,1024.4,8.9,16.4,25.1,36.9,34,21,0.06,0,400
"239",3,2018,2,13,2018-02-13,31.5,23,1039.1,10,9.7,18.1,22.9,34,28,0.14,0,613
"240",4,2015,2,18,2015-02-18,30.6,24.5,1010.4,10,8.8,13,16.9,36,16,0,0,626
