"","day","mo","temp","NUM_COLLISIONS"
"143",7,1,30.5,-0.658510523959542
"144",3,1,32.3,0.178872608988138
"145",5,1,35.8,-0.508977821647457
"146",6,1,34.5,-0.359445119335371
"147",5,1,31.8,-2.03421138523073
"148",7,1,20.2,-1.03732670315016
"149",6,1,33.2,-0.0304731742487823
"150",7,1,34.5,-1.19682825228305
"151",3,1,28.1,-0.279694344768925
"152",6,1,28.1,-0.379382812976982
"153",1,1,51.3,-1.36629864823675
"154",2,1,43.2,0.806909958698897
"155",5,1,37.1,-1.34636095459514
"156",1,1,9.3,-1.23670363956627
"157",5,1,14.3,-0.449164740722622
"158",4,1,16.2,-0.538884362109874
"159",5,1,21.8,-0.499008974826651
"160",5,1,16.5,0.129028374884109
"161",2,1,13.7,-1.86474098927703
"162",5,1,23.5,-0.379382812976982
"163",1,1,21.7,-1.69527059332334
"164",6,1,24.2,-1.75508367424817
"165",1,1,26,-2.24355716846765
"166",1,1,27,-1.04729554997097
"167",3,1,30.2,-4.09776267713751
"168",7,1,44.8,-1.33639210777433
"169",2,1,47.2,-0.568790902572291
"170",4,1,21.6,-1.40617403551997
"171",6,1,19,0.747096877774063
"172",4,1,45.1,-1.01738900950855
"173",3,1,42.2,1.34522768702241
"174",6,1,28.8,0.677314950028423
"175",1,1,37.8,-2.78187489679116
"176",4,1,36.8,0.308467617658612
"177",4,1,31.4,0.876691886444537
"178",3,1,33.8,0.816878805519703
"179",3,1,35.6,-0.0205043274279766
"180",7,1,37.3,-2.09402446615556
"181",2,1,35,1.20566383153113
"182",2,1,35.9,-0.778136685809211
"183",4,1,31.6,-0.459133587543428
"184",5,1,15.7,0.0193710598552462
"185",3,1,31.9,-0.199943570202479
"186",6,1,23,1.00628689511501
"187",7,1,38.8,-1.50586250372803
"188",2,1,35.7,-0.339507425693759
"189",1,1,35.1,-1.53576904419045
"190",1,1,35.7,-2.05414907887234
"191",6,1,38.6,-0.100255101994422
"192",3,1,40,0.577626481820366
"193",2,1,40.9,0.677314950028423
"194",3,1,35.7,-0.987482469046131
"195",2,1,34.4,-1.17689055864144
"196",4,1,41.6,-0.499008974826651
"197",6,1,38,0.607533022282783
"198",7,1,37.7,-1.76505252106898
"199",6,1,41.2,-2.05414907887234
"200",5,1,28,0.0293399066760519
"201",1,1,24.1,-1.92455407020187
"202",4,1,27.5,-1.18685940546224
"203",4,1,25.6,0.458000319970698
"204",3,1,29.4,0.188841455808943
"205",7,1,18.8,-1.8049279083522
"206",2,1,32.8,1.03619343557743
"207",6,1,28,1.02622458875662
"208",7,1,31.3,2.96018087199293
"209",1,1,40.2,-1.47595596326561
"210",4,1,41.1,0.158934915346526
"211",7,1,45.7,-0.359445119335371
"212",3,1,45.3,-0.678448217601154
"213",1,1,45.1,-2.10399331297637
"214",1,1,43.2,-1.87470983609784
"215",4,1,46.5,-0.0902862551736166
"216",5,1,47.8,0.467969166791503
"217",5,1,31.1,0.0393087534968576
"218",6,2,14.1,0.21874799627136
"219",1,2,5.8,-2.89153221182002
"220",6,2,21,1.08603766968146
"221",7,2,23.5,-1.18685940546224
"222",7,2,22.2,-0.608666289855514
"223",6,2,20.3,0.557688788178755
"224",4,2,23.7,0.418124932687475
"225",4,2,26.7,0.158934915346526
"226",3,2,28.7,-0.329538578872954
"227",3,2,24,0.368280698583446
"228",1,2,24.8,-2.37315217713812
"229",7,2,28.2,-1.74511482742736
"230",2,2,24.6,-2.00430484476831
"231",6,2,28.1,0.757065724594869
"232",5,2,24.7,-0.279694344768925
"233",2,2,10.7,-1.96442945748509
"234",2,2,24.3,-1.07720209043338
"235",2,2,30.7,-0.309600885231342
"236",1,2,25.7,-1.44604942280319
"237",1,2,28.7,-1.53576904419045
"238",1,2,24.7,-1.9843671511267
"239",3,2,31.5,0.138997221704915
"240",4,2,30.6,0.268592230375389
"241",5,2,30.6,-1.00742016268774
"242",1,2,30.7,-1.53576904419045
"243",7,2,23.5,-0.219881263844091
"244",5,2,27,-0.837949766734045
"245",6,2,19.3,0.288529924017
"246",3,2,36.7,-1.21676594592466
"247",2,2,33.1,0.806909958698897
"248",5,2,36.8,-0.0205043274279766
"249",3,2,37.1,-1.15695286499983
"250",1,2,30.9,-1.59558212511528
"251",3,2,21,1.40504076794724
"252",1,2,37.8,-0.578759749393096
"253",6,2,38.3,-0.528915515289068
"254",4,2,42.6,0.547719941357949
"255",7,2,41.6,-0.499008974826651
"256",3,2,45.6,-0.638572830317931
"257",2,2,36.4,-1.23670363956627
"258",2,2,39.1,-0.588728596213902
"259",4,2,46.2,0.737128030953258
"260",3,2,43,-0.289663191589731
"261",6,2,42.2,-0.538884362109874
"262",4,2,39.1,0.158934915346526
"263",3,2,44.5,0.158934915346526
